,text,polarity
36,nicevibe with the moodlight from takeoff to touchdown moodlitmonday sciencebehindtheexperience,neutral
37,moodlighting is the only way to fly best experience ever cool and calming 'ÿ  '  moodlitmonday,positive
38,done and done best airline around hands down,positive
39,when can i book my flight to hawaii,negative
40,your chat support is not working on your site,positive
41,view of downtown los angeles the hollywood sign and beyond that rain in the mountains,neutral
42,hey first time flyer next weekexcited but im having a hard time getting my flights added to my elevate account help,neutral
43,plz help me win my bid upgrade for my flightlaxgtsea'ÿ 'ÿ  'ÿ ' ï ,neutral
44,i have an unused ticket but moved to a new city where you dont fly how can i fly with you before it expires travelhelp,neutral
45,are flights leaving dallas for seattle on time feb,neutral
46,im elevategold for a good reason you rock,neutral
47,dream,positive
48,wow this just blew my mind,neutral
49,after last night tribute soundofmusic oscarsi thinkagree,neutral
50,all were entertaining,positive
51,is flighton its way was supposed to take offminutes ago website still shows on time not in flight thanks,negative
52,julie andrews all the way thoughwas very impressive no to,neutral
53,wish you flew out of atlanta soon,positive
54,julie andrews hands down,positive
55,will flights be leaving dallas for la on february th,positive
56,hi im so excited about yourlgagtdal deal but ive been tryingbook since last week amp the page never loads thx,positive
57,you know it need it on my spotify stat guiltypleasures,negative
58,im lady gaga she is amazing 'ÿ  ,neutral
59,carrie,neutral
60,new marketing songlet us know what you think,positive
61,julie andrews first but lady gaga wowd me last night carrie meh,negative
62,i called aweeks ago about addingflights fromto my elevatethey still havent shown uphelp,neutral
63,all are greatbut i have to go with carrieunderwood 'ÿ  'ÿ  ,neutral
64,sorry mary martin had it first,negative
65,love all three but you really cant beat the classics,positive
66,flightdal to dcapm tried to check in could not status please,positive
67,heyyyy guyyyys been trying to get through for an hour can someone call me please,negative
68,hi virgin im on hold forminutesare there any earlier flights from la to nyc tonight earlier than pm,neutral
69,congrats on winning theaward for best deals from an airline us,positive
70,everything was fine until you lost my bag,neutral
71,need to change reservation have virgin credit card do i need to modify on phone to waive change fee or can i do online,negative
72,i emailed your customer service team let me know if you need the tracking number,negative
73,hi i just booked a flight but need to add baggage how can i do this,negative
74,your airline is awesome but your lax loft needs to step up its gamefor dirty tables and floors,negative
75,not worried its been a great ride in a new plane with great crew all airlines should be like this,neutral
76,awesome i flew yall sat morning any way we can correct my bill,positive
77,or watch some of the best student films in the country atfeet cmfatfeet,neutral
78,first time flying you all do you have a different ratepolicy for media bags thanks,neutral
79,what is going on with customer service is there anyway to speak to a human asap thank you,positive
80,what happened to doom,negative
81,why cant you supp the biz traveler likeand have customer service likeneverflyvirginforbusiness,negative
82,ive applied more then once to be a member of the inflight crew teamiminterested flightattendant dreampath g,neutral
83,youre the best whenever i begrudgingly use any other airline im delayed and late,positive
84,i have no interesting flying with you after this i will cancel my next four flights i plannedneverflyvirginforbusiness,positive
85,it was a disappointing experience which will be shared with every business traveler i meet neverflyvirgin,positive
86,i' m having trouble adding this flight my wife booked to my elevate account help,negative
87,cant bring up my reservation online using booking code,negative
88,random q whats the distribution of elevate avatars i bet that kitty has a disproportionate share,neutral
89,i lt flying va but life happens and i am trying to change my trip jperhican you helpva home page will not let me,negative
90,why is the site downwhen will it be back up,positive
91,you down with rnp yeah you know me,positive
92,hi i did not get points on my elevate account for my most recent flight how do i add the flight and points to my account,negative
93,i like the tv and interesting videojust disappointed in cancelled flight when other flights went out to jfk on saturday,neutral
94,just landed in lax an hour after i should of been here your no late bag check is not business travel friendly nomorevirgin,neutral
95,why is flightredirected,neutral
96,is it me or is your website downbtw your new website isnt a great user experiencetime for another redesign,positive
97,i cant check in or add a bag your website isnt working ive tried both desktop and mobile,neutral
98,letscanned in passengers leave the plane than told someone to remove their bag from st class bin uncomfortable,neutral
99,what is your phone number i cant find who to call about a flight reservation,negative
100,is anyone doing anything there todaywebsite is useless and no one is answering the phone,negative
101,trying to add my boy prince to my ressie sf this thursdayfrom lax,negative
102,why must a traveler miss a flight to late check a bagi missed my morning appointments and you lost my business sfolax,negative
103,check out new music,neutral
104,hows a direct flight fllgtsfo have unexpected layover in vegasfuel yet peeps next to me bought for vegas flight sneaky,negative
105,your no late bag check just lost you my business i missed flight and am apt three other people on flight had same exp,neutral
106,amazing customerservice again 'ÿ  'ÿ   raeann in sfshes the best customerservice virginamerica flying,positive
107,called your service line and was hung up on this is awesome sarcasm,neutral
108,your site is tripping im trying to check in and im getting the plain text version i am reluctant to enter any card info,neutral
109,i was scheduled for sfodal flighttoday changed to th due weather looks like flight still on,neutral
110,has getaway deals through may fromoneway lots of cool citiescheapflights farecompare,neutral
111,has getaway deals through may fromoneway lots of cool citiescheapflights farecompare,neutral
112,has getaway deals through may fromoneway lots of cool citiescheapflights farecompare,neutral
113,has getaway deals through may fromoneway lots of cool citiescheapflights farecompare,neutral
114,have a great week 'ÿ  ' ,positive
115,come back to phl already we need you to take us out of this horrible cold pleasecomeback,negative
116,should i be concerned that i am about to fly on a plane that needs to be delayed due to a tech stop,negative
117,is the best airline i have flown oneasy to change your reservationhelpful representatives amp a comfortable flying experience,positive
118,and again another rep kicked butt naelah represents your team so beautifully thank you,positive
119,your beautiful frontend design is down right now but it was cool to still book my ticket bc all your backend was secure,positive
120,love the team running gate e at las tonight waited for a delayed flight and they kept things entertaining,neutral
121,use another browseramp a brand with a reputation built on tech response doesnt have a crossbrowser compatible website,positive
122,and now the flight booking site is totally down folks what is the problem,negative
123,i like the customer service but amin delay just for connecting passengers seems too long va,neutral
124,thanks to your outstanding nycjfk crew who moved mountains to get me home to san francisco tonight,neutral
125,you have the absolute best team and customer service everevery time i fly with you im delightedthank you,positive
126,do you provide complimentary upgrades to first class if there are available seats,positive
127,i need to change my flight thats scheduled inhours andmin wait time on phone im calling intern help,negative
128,completely awesome experience last month boslas nonstop thanks for such an awesome flight and depart time vabeatsjblue,neutral
129,how can i watch the oscars on my jfkgtsfo flight,negative
130,is flightcancelled and what do i do if it is,neutral
131,you are failing your customers because your check in process does not link to tsa precheck,negative
132,us too terrible airline just gave us a hotel hotline number and said sorry,negative
133,has flight numberfrom sfo to cabo san lucas arrived yet,negative
134,your assistance yesterday when u cancelled our flight was to give us a hotel hotlineshame on you,negative
135,another delayed flight likingyoulessandless,negative
136,i need to register a service dog for a first class ticket from sfo gt dulles the phone queue is an hour or longer pls advise,neutral
137,you rock for making it so i can watch oscars on my flight redcarpet oscars oscars,negative
138,dropped a track on you,neutral
139,always xoxo,neutral
140,why cant we book seats on your flights when we buy them or even during check in creates so much anxiety frustrated,neutral
141,youd think paying an extrabucks rt for luggage might afford you hiring an extra hand atlame,positive
142,best customer service rep in the world irmafromdallas takes the cake,positive
143,can you find us a flt out of lax that is sooner than midnight on monday that would be great customer service 'ÿ  ,neutral
144,please provide status for flighti cant imagine its on time as the web indicatesdude to weather here andor dallas,positive
145,you have amazing staff amp super helpful as i just ran theprincesshalf they have spoiled me with comfort,positive
146,i paid the premium to fly you across the country you cancel my flight and offer no check fee or upgrade love sad face,positive
147,question is it not possible to book a seat for an infant underits not giving me the option but we want a seat for him,neutral
148,always have it together youre welcomeyoure so welcome,positive
149,flight home to dc sunset globe in backtowinter back to work refreshed,positive
150,i dont understand why you need a dm to give me an answer on if you have a damaged luggage policy,negative
151,does that mean you dont have a policy for destroyed luggage,negative
152,is there special assistance if i travel alone w kids andinfant priority boarding,positive
153,thank you for checking in tickets are purchased and customer is happy,positive
154,is your website ever coming back online,positive
155,is flightfrom love field to sfo definitely cancelled for monday february,positive
156,is flightout of lga to dfw on time,neutral
157,my drivers license is expired by a little over a month can i fly friday morning using my expired license,negative
158,having problems booking on the web site keeps giving me an error and to contact by phonephone isminute wait,negative
159,how do i reschedule my cancelled flights online the change button is greyed out,neutral
160,i rang but there is a wait forminutes i can book the same ticket through a vendor fix your site,neutral
161,got a flight we were told fortodaychecked my email and its fortomorrow this is unacceptable,negative
162,our flight into lga was canceled were stuck in dallas i called to reschedule told i could get a flight for today,negative
163,why dont any of the pairings include red wine only white is offeredredwineisbetter,positive
164,is the website down,neutral
165,your site seems a little wonked right now may want to have a look tried on two browsers no css,positive
166,im disappointed that the agent at the designated silver status check in lineclosed to assist all pasengers,negative
167,plans to include austin to its dallas routetopnews arab emirates,neutral
168,is it normal to receive no reply from central baggage baggageissues smh,positive
169,at logan airport and waiting to checkin for my am flight checkin desk not openwhy,negative
170,to jump into the dallasaustin market,negative
171,beats eps views takes on southwestair va luvinvestors business daily,neutral
172,lister to my show my on monday,negative
173,to begin dallasaustin flights in aprilketr,neutral
174,congrats you just got all my business from ewr to sfolax fuck youfl sfoewr was the clincher,positive
175,i applied overweeks ago havent heard back and im flying this week disappointed,neutral
176,id love to know what your policy is for damaged luggage,positive
177,thank you for the follow,positive
178,too many apologies you r the worse airlines dont even respond to your cudtomers,neutral
179,shame on va for making people spend money in stranded cities when other airlines are landing at jfk who will reimburse me,neutral
180,i dm you,neutral
181,can you please have flights insjci have no choice but to fly southwest to vegas 'ÿ 'ÿ ,positive
182,too bad you say it takestodays via your confirmation email when i inquired afterweeks you claimtoweeks,negative
183,flight from bos gt las tomorrow was cancelled no notification wait times arehour will you rebook on another airline,neutral
184,'ÿ  you' ve met your match got status on another airline upgrade restr,positive
185,only way to fly elevate gold,positive
186,if only you guys had flights from cmh,neutral
187,a lot of apologies being thrown out to customers from what i can seevery sad thanks for nothing worst airline ever,negative
188,for all my flight stuff wrong and did nothing about it had worst flight ever,negative
189,having an issue finding a missing item on a plane can you help me find which airport my plane headed to next,positive
190,you will match my americanairlines status cool,positive
191,' youve met your matchgot status on another airline upgrade  'ÿ  ,positive
192,trying to book a flight with you guys and your website wont let me about to lose my business,negative
193,you suck,negative
194,thanks,neutral
195,just dmd same issue persisting,positive
196,because we never recd cancellation notice we were left w no options to fly out of ps driving to la for a red eye mon w kids,neutral
197,trying to book a flight amp your site is down 'ÿ  ,negative
198,you have any flights flying into boston tomorrow i need to be home and you cancelled my flight and didnt do anything,negative
199,you stink flight canceled from psp to jfk and no notification or ability to rebook disappointedexpected better,neutral
200,i love your guys song were dancing to it for our high school dance revue,positive
201,your website is down and im trying to check in,negative
202,done thank you for the quick response apparently faster than sitting on hold,positive
203,nervous about my flight from dc to lax getting cancelled tomorrow just sent you a dm to help me,neutral
204,cool picture of another virginamerica plane off our wing what a site,positive
205,keep up the great work,positive
206,my goodness your peoplefield are amazing under pressure 'ï from texas beatstheothers in crisis please fly me to ny,neutral
207,thanks for a great flight from la to boston pilots did a great job landing in the snow can we go back to la now seriously,negative
208,can you please get me to the new york area before monday afternoon,neutral
209,thanks so much for the awesome support you guys rock,neutral
210,seats in rowdont recline should mention that on your website soreback,neutral
211,flightdelayedhours in la due to mechanical problems handle like pros but you could have tossed us a free drink,neutral
212,why cancel flights today no precipitation to be scared of' ï ' ï ' ï ,negative
213,twitter team you guys killed it for rescheduling me asap thank you,positive
214,you guys charged meto reschedule a flight that was then canceled and are now refusing to refund it whats the deal,neutral
215,can' t access your website from safari on iphoneseems to work on mac and ipad need iphone to add passbook,neutral
216,on ipad and iphone clicking the checkin link in the email i received at hrs before flight,negative
217,"your mobile site is broken shows 
headerelevateusernumofpointsavailablenumber points wont let me checkin",negative
218,i was really looking forward to my flight can you let me know when it will be rescheduled diehardvirgin,neutral
219,why cancel flight vx one sec its delayed on my to airport the next its cancelledgonna email or call me to reschedule,negative
220,i did it but there was a problem in the link from the email for checkin thanks,negative
221,had to change to another airline to get to dc todaywhy isable to land in dc but not you cost meugh,negative
222,i was so looking forward to my first flight with you today but it was cancelled along with the subsequent one,negative
223,when are you putting some great deals from pdx to las or from las to pdx show me your love,neutral
224,wish i can afford to fly with you next fridaygoing back home love everythingabout your airline,positive
225,how are you gonna have a deal from dallas to dc but no deal from dc to dallas sad,neutral
226,it' s just a bug report guys,negative
227,hold times at call center are a bit much,negative
228,like,positive
229,site down help,positive
230,you have the best flight attendant ever,neutral
231,awesomewatch nominated films atfeet meetthefleet oscars,neutral
232,thanks so much,neutral
233,trying to reset my password email never arrives help,neutral
234,the only airline based in silicon valley disruption fcmostinnovative incubators,negative
235,very nicely done 'ÿ  ,positive
236,i' m looking forward to watching the oscars on my flight home tomorrow i might even get something bubbly to drink,neutral
237,what is the reasonfor the delay of the departure of vxfrom jfk this afternoon,neutral
238,is todays flight from palm springs ca to jfk in ny cancelled,negative
239,hahaha 'ÿ   you guys are amazing i love you guys'ÿ  ,positive
240,sounds like fun,neutral
241,any updates on flightfrom jfk gt lax,negative
242,spruce moose,neutral
243,the css on your site is aright now please fix site unusable,positive
244,were on flightvegas to boston today checked in online but our bag count didnt register can i fix that somehow,negative
245,classiq luv virgin america greetingz,neutral
246,hi im trying to do checkin but the website is not working i trieddifferent browsers and the problem continues,negative
247,thanks for your great customer service today amp for helping me get all my travel sorted out,neutral
248,thanks guys sweet route over the rockies airplanemodewason,positive
249,love the s music blasting at gate in boston while waiting for flight to sanfrancisco only if i could get an iced coffee,negative
250,the passenger in d fltthat assaulted me shouldnt have flown i trust hes banned crew filed report to,neutral
251,current bug on website shows ' select departure city'  when selecting destination city,neutral
252,luggage was severely dentedmissing wheel coming off baggage claim in san luggage agent miranda i think wasnt any help,positive
253,thank you for the easy itinerary shift for impending weather quick painless amp free,positive
254,if youd love to see more girls be inspired to become pilots rt our free woaw event marchat abq,positive
255,thanks good times there and back vodkatonics the entire flight'ÿ sfo,positive
256,beats expectations shares take offsanta cruz sentinel,neutral
257,any plans to start flying direct from dal to las,neutral
258,big lovegratitudempower wwerin oscars vipswagbags avalonhollywood,neutral
259,youre doing a great job adding little luxuriesaesthetics that improve the air travel experience thank you keep it up,neutral
260,requested window seat and confirmed window but got stuck in middle seat not a good way to treat silver member'ÿ  ,positive
261,grand budapest hotel oscarscountdown,positive
262,this is what you missednext trip to the,neutral
263,wtf i paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience,negative
264,there is something wrong with you website in safari iphone,negative
265,thanks for gate checking my baggage on your full flight dfwlaxand giving me early boarding too sweet,neutral
266,already checked in so the page expired x,neutral
267,boo for a not refunding a seat upgrade fee i did not want to buy in the first place,positive
268,shares rise on q financial resultsusa today,neutral
269,adds pillows instead of lieflat seats in first class arms race,positive
270,i see what you did there,neutral
271,way to take advantage of mayweatherpacquiao,neutral
272,you know im flying virgin for the fight mayweatherpacquiao,negative
273,your inflight team makes the experience amazing,positive
274,cutest salt and pepper shaker ever just when i think you guys cant get any better you just do,positive
275,moved my seat with no notice better seat is cabin select not behind the row i selected'ÿ   disappointed,positive
276,shares up on q results,neutral
277,fav airline,neutral
278,we have a hot female pilot sweet dca to sfo,positive
279,'ÿ  'ÿ  ' ï ' ï 'ÿ   when are you guys going to start flying to parisyoure welcome' ,positive
280,what is your policy on flying after surgeryi am still waiting for answer so i can tell me doctor,neutral
281,already contacted central baggage amp sent dmis charging me for the dress that was in the lost suitcase help,neutral
282,thank you,positive
283,is there anything going on with the website ive been getting a lot of errors pastminutes,neutral
284,i think i left something on the plane yesterday who do i callah,neutral
285,i need you to follow back in order to dm,neutral
286,need to start flying to'ÿ  'ÿ  'ÿ  'ÿ  ,negative
287,they told to check with the airline regulation first so that is why i contacted you,neutral
288,i have just checked in flight to sfo from lax amp been told as atlantic flying club gold i get no benefits,neutral
289,husband and i ordered three drinks via my screen and they never came awesome,positive
290,soooo are you guys going to leave the seatbelt light on all flight you can barely call this turbulence,negative
291,what is your policy on flying after surgery,neutral
292,posts second consecutive fullyear net profit,positive
293,funny story your website is broken you have missing javascript and stylesheets on the checkin process i dislike this,negative
294,would love to do more for virgin just like i do for,positive
295,results handily exceed forecasts,positive
296,i applied for a position inand i was wondering if you guys received my application,neutral
297,achieves a second year of profitability despite revenue pressure,negative
298,gives positive outlook but sees increased competition,positive
299,im trying to check into my am ct flight tmm on the desktop website and its not working some sort of caching bug sos,negative
300,weather delays gt next few weeksjfk bos dca,neutral
301,check the website before you go to the airport,neutral
302,do you guys know your checkin links from emails are broken,neutral
303,pilot says we expect a choppy landing in nyc due to some gusty winds wa temperature of aboutdegrees amp wthe windchill,negative
304,loved it cant wait for mondays return flight mostly just to watch the inflight safety video again sorrynotsorry,negative
305,lost my luggagedays ago on flight vxfrom lax to iad amp im calling every day no responseplease give me back my stuff,negative
306,the booking section of your website seems to be broken on chrome might wanna look into that,neutral
307,hi just wanted to see if you have any new routes planned this year for newark love flying you guys and hope to do so more,positive
308,i mean probably inappropriate while on board but its on,negative
309,happy to spend the day together lets do this,positive
310,is saving my sanity right now,positive
311,missed my flight how does standby work,neutral
312,they were very understanding and helped me outthx comps,positive
313,brought it all the way across the country today i see,negative
314,thank you i absolutely will 'ÿ  ,positive
315,looks like a broken link for your assets,neutral
316,are you ready lets say it together noooo turbulence today 'ÿ  ,positive
317,the manage itinerary section of your website seems to be broken for me,neutral
318,cant check in your site looks like this every time it loads,positive
319,can u help this 'ÿ needs urgent treatment in'ÿ 'ÿ y old battling cancer could u help with flights 'ÿ  freyasfund,negative
320,may start service to hawaii from sanfrancisco this yearbiztravel,neutral
321,other carriers are less than half price for a round trip fare i am stunned,negative
322,wtf is happening in pdx late march such that one way from sfo is,negative
323,add dtw and im sold,neutral
324,how about some free drinks on the flight back for the free promo,positive
325,thanks,neutral
326,momma i made it 'ÿ  'ÿ  'ÿ  ,neutral
327,please contact me about portfolio left on flight vxfrom jfk to sfo tonite seat am need it returned call,negative
328,help i was onflightfrom jkf tonight seat c left portfolio need it back,neutral
329,seattle bound wifey got me the duffle for vday shes a keeper holla,positive
330,my luggage is gone ive filed my paperwork promised a callemail still no resolution or response from central luggage,neutral
331,debbie baldwin gave a rockstar performance of the safety demo this evening on vx lassfo bestcrew sherocks,neutral
332,thanks for taking care ofon her flight rockstars travel,neutral
333,thanks for the lovely soft views travel san to sfo,positive
334,i requested a mileage challenge for status several weeks ago online but havent heard back how do i get help with this,neutral
335,just trying to book tickets to nyc and facing super fun broken styling dont worry ill keep trying,negative
336,"many thanks for the follow
ourprincess freyasfund usa bandie 
looking for any help'ÿ  
'ÿ  'ÿ 'ÿ 'ÿ  'ÿ 'ÿ 'ÿ  
'ÿ  'ÿ  'ÿ  ",positive
337,nice lofty viewsilverstatus,positive
338,applied for status match on febgot confirmation email same day still no news though you guys have dropped ball lately 'ÿ ,positive
339,is my new go to airline,neutral
340,"can you help ourprincess in need of some help in usa 
'ÿ  'ÿ 'ÿ 'ÿ  'ÿ 'ÿ 'ÿ  ",neutral
341,i adore you and am so looking forward to my flight to austin in two weeks,neutral
342,i was so glad it was mentioned i took my first virgin flight a few years back and it was a transformative experience,positive
343,booking flight to uphold my status matchdo taxes on ticket count as earned status pointsstatusmatch virginamerica,negative
344,trying to checkinbut looks like your site is down,negative
345,spending my birthday night with you daldca get me home,negative
346,sent a couple messages to the email you provided but to no avail will try again next year cheers,negative
347,first time flying virgin went to sanfrancisco thanks for the smooth ride easily my new fav airline,positive
348,seriously though will there not be direct flights from sfofll in may,neutral
349,its fine already done with my purchase but you should try it just go most of the way through then go back,neutral
350,not really the experience i was hopingi ws forcedcheck in a small carry on w nothing but empty cabin space on board,neutral
351,wjere is our luggage so slow at lax,negative
352,to jump into the dallas austin market,negative
353,i spoke with a representative that offered no solution i am a loyal customer who flies onas well,positive
354,i am deeply disappointed that your birthday promo was not applied to a trip i booked mere days before i received the email,negative
355,what happened to direct flights from sfofll looking in may only see connecting help dontdothistome,positive
356,can you help left my blazer in kooples jacket bag at rd row second seat from right gatet lax flight to sfo,neutral
357,partners withcheckout as mobile payment method to help boost mobile conversion rates etailwest payments visa,positive
358,just promoting the product is all had a problem with southwest and recommend noneother than the best,positive
359,love you guys but pls get some direct routes las to aus,neutral
360,i would like help with some flights please,positive
361,bruh ' turn down for what vxsafetydance' ,neutral
362,of course i work forand im obsessed with the entire virgin family,positive
363,ok first time flying with you tonight,neutral
364,digging the swanky pink mood lighting during the flight from nyc to sfojust needs a cabaret singerthink about it,negative
365,done but i need the receipt asap could you please help,neutral
366,i have d and d embossed badges and patches superior to the ones you are currently using,positive
367,on vx from jfk to ladirty planenot up to your standards,neutral
368,on flight vx headed to la from jfkdirtiest va plane i have ever been on sad for a great airline,neutral
369,got it squared away someone picked up as soon as i tweeted should have tweeted sooner 'ÿ  ,neutral
370,your avis rental continue button doesnt work on your website to book car triedtimes on phonethis sucks,positive
371,delayed to,neutral
372,currently in minuteof being on hold with cust service do i need to do anything to add a lap child to my reservation,negative
373,"adds pillows instead of lieflat seats in first class arms race 
 by",positive
374,' of course have fun celebrating'  thanks happy chinese new year,neutral
375,booking last second flight for next week from sfo to san any chance you want to gift me a promo code since i love you guys,neutral
376,comenity bank is a jokeplease changenothing but constant problems with this bank,negative
377,i just did how can i dm do u have to also add me,positive
378,for my grandma ellas th she would lt a bday greeting from your flight crew she was a stewardess for eastern airlines,negative
379,just bought tix for atxdallas routethanks for adding that love yr airline amp yr website is best transactional site ever,positive
380,anytime sugafly,neutral
381,gave a credit for my late flight yesterday great servicethats a wow moment unexpected gesture,neutral
382,i need a receipt for a flight change can you send one,negative
383,i submitted a status match request a while back and still haven' t heard i' m flying on monday can you lookaccelerate,positive
384,had me at their safety videoloved my first cross country flight livewelltraveled sytycd,negative
385,that doesnt look to fat to me it looks yummy,negative
386,ceo says southwest amp jetblue have strayed from low cost model,negative
387,a brilliant brisk am in boston in cue for vx,positive
388,atlantic ploughs a lone furrow in the middleeast,negative
389,atlantic ploughs a lone furrow in the middleeast,negative
390,atlantic ploughs a lone furrow in the middleeast,negative
391,omg omg'ÿ  'ÿ   nonstop dallas to austin on virgin''ÿ ' ï ,neutral
392,your planes are really pretty just thought u should know that,positive
393,when are you flying to hawaii,neutral
394,im pulling my hair out trying to book a flight with u your site doesnt work on iphone or ipaddont have a computer help,neutral
395,thank you,positive
396,can i get some help with a support ticket its beendays incidentthank you,positive
397,good to be home texas moodlighting,positive
398,i cannot even open my laptop in seat c and i paid a premium for thislet me out of here,positive
399,i am in seat c and i cannot even open my laptop and i paid extra for this seat,positive
400,if only you guys were starting those flights at the end of the month guess i' m still road tripping on feb ',negative
401,thanks for that been needing a way to make those austin trips from dca and now youve come through,negative
402,announced new route to austin wfares from way,negative
403,really sprint i thought you guys were kewl,neutral
404,this is too coolnever been on ur planes but now i will,positive
405,you should havedollar laxlas fares,neutral
406,great well deserved,positive
407,fyi the infocom email address you say to contact in password reset emails doesnt exist emails bounce,neutral
408,status matchweeks have gone by and no newsflt next weekhope flt will count towards requirementcust svc no help,positive
409,your website sucks donkey dicks just thought you should know all best,positive
410,you should still develop an appthen you will be my favorite airline,positive
411,all crap channels which is why i pay to watch uk tv,negative
412,got it all setthanks,neutral
413,no as channel this year,neutral
414,only thing i see on passbook is virgin mobile mexico how do i integrate,neutral
415,giants and virgin america a match made in heaven,positive
416,thank goodness also see you friday nwkgtsf boom,positive
417,how come you dont have an iphone app still using and making me waste paper,negative
418,your back of seat entertainment system does not accept credit cards thathave an apostrophe in the surname apostrophefail,positive
419,when will vx use alllga slots instead oftoday adding aus makes this less likely,negative
420,is helping me step up mygame tindertips tinderchamp,neutral
421,i luv ur people and productthing is y do u charge for herbal tea but not black tea im not a caffeine drinker,negative
422,thank you see yall soon im excited to see the expansion of destinations spread those wings,positive
423,announces new nonstop connectingampintro,neutral
424,adds austindallas love field route,positive
425,sad to learn you no longer fly sfo gt phl hope it returns,neutral
426,can you tweet me the cancelchng fee for a flight or can i rebook under one of your affiliates if so who are afiliates,negative
427,has the most incredible customer service ive ever experienced so refreshing,positive
428,now when will we see virginamerica come to philadelphia phl,positive
429,am i dreaming did you really just open up a route between dallas and austin and does this mean houston might be next,positive
430,omg finally,neutral
431,to start xweekly a flights from to dallasaustin on apr avgeek,neutral
432,nice to see you expanding in texas but dont forget about us here in sandiego i would love to see more flights out of here,neutral
433,kinda sucked my earphone jack didnt work on my flight they may want to look into that for future passengers,neutral
434,very poor experience first computer problem now seat malfunction stuck missing meeting in san diego,negative
435,to battleonroute,neutral
436,thankyou the dalaus route makes my day,neutral
437,awesome deals dalaus for onlyeach way,neutral
438,i miss the nerdbird in san jose,negative
439,love it takingon in their backyard consumers win when biz competes,neutral
440,'  is flying from love to austin now that is most excellent news,positive
441,can we make every vx plane with nerdbird why should austin be the only one getting nerd love,positive
442,please add more frequency to pdx portland,positive
443,congrats vx on the new route ' ï 'ÿ  ,neutral
444,i tried that you offered to charge me an additional k for a new ticket or be stranded until thurs st time last time,negative
445,can u help with flights to get a y old battling cancer who needs treatment in 'ÿ 'ÿ 'ÿ   'ÿ   'ÿ  ,negative
446,never had a bad experience before but this one took the cake now extortion for carry on items as well,neutral
447,had to spendhours worrying that items in carryon would be brokenstolen since i couldnt carry them on plane or lock bag,negative
448,all of group e was told there was no more room in the bins when i got on the plane was room for at leastbags in my row,neutral
449,thanks for making my flight from lax to jfk a nightmare by forcing me to check my carry on bag at the gate,negative
450,i have lots of flights to book and your site it not working ive been on the phone waiting for overminutes,neutral
451,i am all about the in flight artisanal cheese and wine pairing,negative
452,does virgin america fly direct from seattle to nyc or boston,neutral
453,thats classy,neutral
454,im sure a lot of yourandjfklhr flights go a lot faster than mph with a strong tailwind,positive
455,now its just tminusminutes until my elevate a silver upgrade window opensfreeneversucks 'ÿ  'ÿ  ,positive
456,save some fortomorrow am,neutral
457,why is it takingyears to fly home to dallas get your shit together,neutral
458,club virgin is bumping in new york,neutral
459,would have been a rough trip but luckily we were on a virginamerica flight weather,negative
460,is that thestarter'ÿ  ,neutral
461,please come to minneapolis st paul,positive
462,yes fyimy bff,positive
463,another perfect flighthow come on your planesthe sun visors can stay downother carriers make you raise them,positive
464,nicethe man of steel might be faster but we have wifi '  just saying sciencebehindtheexperience,positive
465,i love the dancing little richard cool beans,neutral
466,i don' t use passbooki still love you though lti' ll just use my email in the future,positive
